algorithm,length,ticks_per_second,total_ticks,robots,arena_size,seed,arena_type,maze_width,maze_height,scatter_size,scatter_density,num_agents,reached_count,reached_ratio,mean_time_sec,fastest_time_sec,slowest_time_sec,total_distance,obstacles_count,run_id
coverage,1,2,2,4,10.0,45819,scatter,10,10,0.885779518975796,0.1165528703742584,4,0,0.0,0,0,0,0.17344608053707672,19,486
coverage,1,2,2,7,10.0,82933,scatter,10,10,1.323738549083977,0.7546550575107606,7,0,0.0,0,0,0,0.20579707018490143,20,457
projet,1,2,2,10,10.0,51794,scatter,10,10,1.2599372810611846,0.12770651020500887,10,0,0.0,0,0,0,0.1499006436225823,12,163
aco,1,2,2,1,10.0,47465,scatter,10,10,1.5787810235128192,0.6194727724007505,1,0,0.0,0,0,0,0.0727532729229413,13,397
aco,1,2,2,1,10.0,16910,scatter,10,10,0.9768987141604052,0.38153820912733855,1,0,0.0,0,0,0,0.0784971138322939,32,61
flood_fill,1,2,2,1,10.0,7493,scatter,10,10,1.1298915887587841,0.1412653768400128,1,0,0.0,0,0,0,0.03804289802315255,15,496
projet,1,2,2,10,10.0,11146,scatter,10,10,1.1902814244080575,0.19998476736929202,10,0,0.0,0,0,0,0.1929697446909647,18,460
pso,1,2,2,5,10.0,24004,scatter,10,10,1.0636441129245007,0.07208615844831434,5,0,0.0,0,0,0,0.07423306617480067,10,226
projet,1,2,2,1,10.0,36054,scatter,10,10,0.5873218636290749,0.18085734678011633,1,0,0.0,0,0,0,0.006749948518322246,56,330
pso,1,2,2,7,10.0,40524,scatter,10,10,1.6199094390727184,0.1410608780924189,7,0,0.0,0,0,0,0.1293959425107887,9,191
coverage,1,2,2,1,10.0,94901,scatter,10,10,0.13542317020987948,0.08077543106421946,1,0,0.0,0,0,0,0.0,444,396
aco,1,2,2,1,10.0,96821,scatter,10,10,0.2743604284723028,0.7279836763150239,1,0,0.0,0,0,0,0.07509056940122383,379,473
pso,1,2,2,3,10.0,84441,scatter,10,10,0.7890008544585206,0.1460312901095581,3,0,0.0,0,0,0,0.0446678140585513,27,345
flood_fill,1,2,2,9,10.0,79802,scatter,10,10,1.7900314950058607,0.08606495516667836,9,0,0.0,0,0,0,0.4961328534234156,7,351
projet,1,2,2,10,10.0,36487,scatter,10,10,0.14845213280655983,0.42447716019265264,10,0,0.0,0,0,0,0.09916160057494548,1294,384
flood_fill,1,2,2,6,10.0,63990,scatter,10,10,0.23774816578086097,0.22021872088109515,6,0,0.0,0,0,0,0.3318253118925827,394,225
projet,1,2,2,2,10.0,23571,scatter,10,10,0.5861587121653882,7.516081426899954e-05,2,0,0.0,0,0,0,0.013527083223508974,4,202
coverage,1,2,2,6,10.0,41272,scatter,10,10,0.13045127794012956,0.3279804761403537,6,0,0.0,0,0,0,0.15382034894247198,1652,487
flood_fill,1,2,2,9,10.0,54981,scatter,10,10,1.3205641142344993,0.16353718469276757,9,0,0.0,0,0,0,0.3917264128355314,13,492
pso,1,2,2,8,10.0,22575,scatter,10,10,0.41018641065650896,0.70060434705264,8,0,0.0,0,0,0,0.09566755087436249,176,485
projet,1,2,2,8,10.0,68774,scatter,10,10,1.1061703680127561,0.2350312057264944,8,0,0.0,0,0,0,0.05150879448385415,23,451
projet,1,2,2,1,10.0,5701,scatter,10,10,1.3913629190170713,0.10789538471049435,1,0,0.0,0,0,0,0.0067504605028097615,10,108
coverage,1,2,2,8,10.0,82652,scatter,10,10,1.2149321427004938,0.46948724908889927,8,0,0.0,0,0,0,0.3593241919055146,21,18
coverage,1,2,2,6,10.0,79777,scatter,10,10,0.5145784971870573,0.8457773446434377,6,0,0.0,0,0,0,0.15541980699165148,112,239
coverage,1,2,2,9,10.0,70227,scatter,10,10,1.1162242722868843,0.035036492100439715,9,0,0.0,0,0,0,0.4908213134657817,7,238
flood_fill,1,2,2,6,10.0,98665,scatter,10,10,0.3867866154432442,0.058767827271674886,6,0,0.0,0,0,0,0.35379471094527715,43,128
aco,1,2,2,8,10.0,4446,scatter,10,10,0.7894342472877476,0.0021578835502496937,8,0,0.0,0,0,0,0.45250229900893874,4,56
coverage,1,2,2,9,10.0,10964,scatter,10,10,1.0779676652827517,0.025596981543345047,9,0,0.0,0,0,0,0.39950041657623087,6,283
pso,1,2,2,3,10.0,69624,scatter,10,10,1.8177932154093994,0.012481071700377934,3,0,0.0,0,0,0,0.017403354885364916,4,417
flood_fill,1,2,2,3,10.0,99457,scatter,10,10,1.324017326710317,0.6645932448308135,3,0,0.0,0,0,0,0.11954353458843617,17,431
coverage,1,2,2,6,10.0,71698,scatter,10,10,1.4967791311601462,0.2569332409960751,6,0,0.0,0,0,0,0.0826634151690216,15,385
projet,1,2,2,4,10.0,65046,scatter,10,10,1.326576701234717,0.1926777071111195,4,0,0.0,0,0,0,0.02684991421117642,15,493
aco,1,2,2,2,10.0,31066,scatter,10,10,1.564627579711561,0.013104896984150821,2,0,0.0,0,0,0,0.14042528008556265,5,175
coverage,1,2,2,7,10.0,75281,scatter,10,10,0.9407994312759506,0.08352169637295101,7,0,0.0,0,0,0,0.24635808437515,13,227
aco,1,2,2,7,10.0,24905,scatter,10,10,1.8301116581888301,0.13206193181553952,7,0,0.0,0,0,0,0.4244548371412103,8,214
projet,1,2,2,6,10.0,7884,scatter,10,10,1.781774315229786,0.3972152584633793,6,0,0.0,0,0,0,0.07705755291763164,11,371
pso,1,2,2,9,10.0,94219,scatter,10,10,0.5841495557936096,6.118173111042433e-05,9,0,0.0,0,0,0,0.1292812183500735,4,199
projet,1,2,2,8,10.0,49276,scatter,10,10,0.19299137853020026,0.016889171003405715,8,0,0.0,0,0,0,0.09215268812994946,49,74
pso,1,2,2,4,10.0,16706,scatter,10,10,0.3807648496986331,0.40700360467110824,4,0,0.0,0,0,0,0.06581878755183143,196,352
projet,1,2,2,10,10.0,70256,scatter,10,10,1.0214943499986076,0.1186364958173256,10,0,0.0,0,0,0,0.12634234276999057,15,456
